word1,choice1,furigana1,word2,choice2,furigana2,word3,choice3,furigana3,word4,choice4,furigana4
bus,バス,ばす,car,車,くるま,train,電車,でんしゃ,airplane,飛行機,ひこうき
train,電車,でんしゃ,airplane,飛行機,ひこうき,car,車,くるま,bus,バス,ばす
airplane,飛行機,ひこうき,bus,バス,ばす,train,電車,でんしゃ,car,車,くるま
car,車,くるま,bus,バス,ばす,train,電車,でんしゃ,airplane,飛行機,ひこうき
library,図書館,としょかん,school,学校,がっこう,hospital,病院,びょういん,restaurant,レストラン,れすとらん
hospital,病院,びょういん,library,図書館,としょかん,restaurant,レストラン,れすとらん,school,学校,がっこう
school,学校,がっこう,restaurant,レストラン,れすとらん,library,図書館,としょかん,hospital,病院,びょういん
restaurant,レストラン,れすとらん,school,学校,がっこう,hospital,病院,びょういん,library,図書館,としょかん
teacher,先生,せんせい,policeman,警察官,けいさつかん,doctor,医者,いしゃ,nurse,看護師,かんごし
doctor,医者,いしゃ,policeman,警察官,けいさつかん,teacher,先生,せんせい,nurse,看護師,かんごし
nurse,看護師,かんごし,doctor,医者,いしゃ,teacher,先生,せんせい,policeman,警察官,けいさつかん
policeman,警察官,けいさつかん,teacher,先生,せんせい,nurse,看護師,かんごし,doctor,医者,いしゃ
apple,りんご,,milk,牛乳,ぎゅうにゅう,orange,オレンジ,おれんじ,pizza,ピザ,ぴざ
pizza,ピザ,ぴざ,milk,牛乳,ぎゅうにゅう,apple,りんご,,orange,オレンジ,おれんじ
milk,牛乳,ぎゅうにゅう,pizza,ピザ,ぴざ,orange,オレンジ,おれんじ,apple,りんご,
orange,オレンジ,おれんじ,milk,牛乳,ぎゅうにゅう,pizza,ピザ,ぴざ,apple,りんご,
mountain,山,やま,park,公園,こうえん,river,川,かわ,beach,ビーチ,びーち
river,川,かわ,park,公園,こうえん,mountain,山,やま,beach,ビーチ,びーち
park,公園,こうえん,mountain,山,やま,beach,ビーチ,びーち,river,川,かわ
beach,ビーチ,びーち,mountain,山,やま,park,公園,こうえん,river,川,かわ
